"Product/Service Name","Variant Name","Quantity on hand","Item type","Single,parent or variant?","Category","SKU","Option 1 name","Option 1 value","Option 2 name","Option 2 value","Option 3 name","Option 3 value","Option 4 name","Option 4 value","Option 5 name","Option 5 value","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"1040 Advanced","",0,"Service","Single","Tax Work","1040A","","","","","","","","","","",650,"0","Tax Services - Individual","","","Complex personal tax return - multiple income streams, business income, capital gains/losses, multiple rentals, cryptocurrency, comprehensive tax planning",,0
"1040 Essentials","",0,"Service","Single","Tax Work","1040E","","","","","","","","","","",200,"0","Tax Services - Individual","","","Personal tax return preparation - W-2 forms only, standard deduction, federal and one state return, electronic filing",,0
"1040 Plus","",0,"Service","Single","Tax Work","1040P","","","","","","","","","","",350,"0","Tax Services - Individual","","","Personal tax return preparation - multiple income sources, itemized deductions, up to one rental property, includes 30-minute tax planning consultation",,0
"1065 Advanced","",0,"Service","Single","Tax Work","1065A","","","","","","","","","","",1100,"0","Tax Services - Business","","","Include all partners who share in the liabilities and profits, multi-member LLCs, undeclared businesses with multiple owners. Documents needed before 3rd week of February to avoid need to go on extension.",,0
"1065 Essential","",0,"Service","Single","Tax Work","1065E","","","","","","","","","","",350,"0","Tax Services - Business","","","Basic partnership return preparation (Form 1065), K-1s for up to 4 partners, one state filing, standard partner communication.",,0
"1065 Plus","",0,"Service","Single","Tax Work","1065P","","","","","","","","","","",650,"0","Tax Services - Business","","","Complex partnership return - unlimited partners, special allocations, multi-state filings, basis tracking, partnership tax strategy review.",,0
"1099 Preparation","",0,"Service","Single","Tax Work","1099","","","","","","","","","","","0","0","Tax Services - Business","","","Outscore prepares, reviews, and electronically files your Form 1099-NEC and 1099-MISC with the IRS and applicable states. We verify W-9s for compliance, upload digital copies to your client folder, manage a multi-round filing schedule to meet deadlines, and offer late-filing and correction support as needed.

Pricing

Early / Standard Rate (all contractor info + W-9s received by Dec 30):

First 1099: $30

Each additional: $15

Late / Premium Rate (received after deadlines):

$25 per form

Corrections / re-files: $25 per form
To keep your filings compliant and avoid penalties, we follow a structured deadline schedule for gathering contractor information and W-9s. Early submission of information allows us to file your forms at our standard discounted rate. Late or incomplete submissions will be subject to our premium filing rates.",,0
"1120 Advanced","",0,"Service","Single","Tax Work","1120A","","","","","","","","","","",1100,"0","Tax Services - Business","","","Complex corporate tax return - multiple income streams, multi-state filings, foreign income/credits, consolidated returns, advanced tax planning.",,0
"1120 Essential","",0,"Service","Single","Tax Work","1120E","","","","","","","","","","",350,"0","Tax Services - Business","","","Basic corporate tax return preparation (Form 1120/1120S), one state return, Florida tangible personal property return, electronic filing",,0
"1120 Plus","",0,"Service","Single","Tax Work","1120P","","","","","","","","","","",550,"0","Tax Services - Business","","","Standard corporate tax return - complete 1120/1120S preparation, inventory/COGS calculations, payroll analysis, officer compensation review",,0
"990-EZ Short Form","",0,"Service","Single","Tax Work","990EZ","","","","","","","","","","",350,"0","Tax Services - Business","","","Mid-size nonprofit Form 990-EZ preparation for organizations with gross receipts < $200,000 and assets < $500,000",,0
"990 Full Return Essential","",0,"Service","Single","Tax Work","990E","","","","","","","","","","",600,"0","Tax Services - Business","","","Complete Form 990 preparation for larger nonprofits, all required schedules, governance review, electronic filing.",,0
"990 Full Return Plus","",0,"Service","Single","Tax Work","990P","","","","","","","","","","",1200,"0","Tax Services - Business","","","Complex nonprofit Form 990 with advanced schedules, related organization reporting, quarterly compliance monitoring",,0
"990-T Unrelated Business","",0,"Service","Single","Tax Work","990T","","","","","","","","","","",450,"0","Tax Services - Business","","","Nonprofit unrelated business income tax return (Form 990-T) preparation and filing",,0
"Accounting Advanced","",0,"Service","Single","Accounting","BOOKA","","","","","","","","","","",900,"0","Accounting Services","","","Advanced monthly accounting - full accrual basis, bank reconciliation, sales tax filing, complete financial package, strategic business consultation, KPI tracking.",,0
"Accounting and Tax Services Bundle","",0,"Bundle","Parent",,"TAXACCT","","","","","","","","","","",,,"","","","Bundle of services related to accounting, bookkeeping, financial statements, payroll and tax planning and filing services.","",0
"Accounting Essential","",0,"Service","Single","Accounting","BOOKE","","","","","","","","","","",350,"0","Accounting Services","","","Basic monthly bookkeeping service for small businesses on cash-basis accounting. Includes:
Bank and credit card reconciliation (up to 3 accounts total)
Transaction categorization with error identification and correction
Journal entries as needed
Florida sales tax preparation and filing (single entity, single state)
Monthly year-to-date financial statements (Balance Sheet and Profit & Loss)

Books are completed by the 20th of the following month, contingent on timely client response to our monthly ask report.",,0
"Accounting Plus","",0,"Service","Single","Accounting","BOOKP","","","","","","","","","","",650,"0","Accounting Services","","","Comprehensive monthly accounting service for growing businesses requiring deeper financial insight. Includes:
Bank and credit card reconciliation (up to 5 accounts)
Cash or modified accrual basis accounting
Transaction categorization with error identification and correction
Journal entries and depreciation calculations
Full monthly year-to-date financial statements (Balance Sheet, Profit & Loss, and Cash Flow)
Accounts Payable and Accounts Receivable aging reports
Sales tax preparation and filing (single entity, Florida only)
Quarterly business review call with your accountant

Books are completed by the 10th of the following month, contingent on timely client response to our monthly ask report.",,0
"Advisory","",0,"Service","Single","Advisory",,"","","","","","","","","","",225,"0","Strategic Advisory","","","Hourly business and financial consulting for project-based or one-off engagements. Common uses include tax planning sessions, system implementations (QuickBooks, Xero, payroll setup), process documentation, financial analysis for specific decisions, and ad-hoc advisory needs that fall outside your monthly accounting service.
Billed at $175/hour in 15-minute increments. Estimates provided in advance for engagements expected to exceed 4 hours.",,0
"Annual Estimate Tax Review","",0,"Service","Single","Tax Work",,"","","","","","","","","","",200,"0","Tax Services - Business","","","Annual review of estimated tax payments to confirm accuracy and alignment with current income and deductions.",,0
"Audit Protection Business","",0,"Service","Single","Tax Work","AUDITB","","","","","","","","","","",30,"0","Tax Services - Business","","","Fixed-rate protection against IRS audit for your business. Includes data compilation, document preparation, and correspondence with the IRS on your behalf as needed throughout the audit process. Active subscription required at the time the audit notice is received.",,0
"Audit Protection Individual","",0,"Service","Single","Tax Work","AUDITI","","","","","","","","","","",5,"0","Tax Services - Individual","","","Fixed-rate protection against IRS audit for individuals and families. Includes data compilation, document preparation, and correspondence with the IRS on your behalf as needed throughout the audit process. Covers personal tax returns (Form 1040 and related schedules). Active subscription required at the time the audit notice is received.",,0
"Audit Support Service","",0,"Service","Single","Other","AUDITSUPPORT","","","","","","","","","","",125,"0","Specialized Services","","","Audit support service",,0
"Billable Expenses","",0,"Service","Single","Other",,"","","","","","","","","","","0","0","Billable Expense","","","Out-of-pocket expenses incurred on behalf of clients and passed through at cost (no markup). Common categories include software subscriptions paid on the client's behalf, government filing fees, postage and shipping, travel expenses, and third-party service costs (e.g., e-filing fees, payroll service fees). Itemized on your invoice with supporting documentation provided upon request.",,0
