Type,Name,Tag,Description,Billing Occurrence,Billing Trigger,Pricing Type,Price,Min Price,Max Price,Unit Name,Unit Cap,Discount Type,Discount Amount
Service,1040 Advanced,S 1040A,"<p>Complex personal tax return - multiple income streams, business income, capital gains/losses, multiple rentals, cryptocurrency, comprehensive tax planning</p>",Yearly,Manual,Fixed,650,,,,,,
Service,1040 Essentials,S 1040E,"Personal tax return preparation - W-2 forms only, standard deduction, federal and one state return, electronic filing",Yearly,Manual,Fixed,200,,,,,,
Service,1040 Plus,S 1040P,"<p>Personal tax return preparation - multiple income sources, itemized deductions, up to one rental property, includes 30-minute tax planning consultation</p><p><br></p>",Yearly,Manual,Fixed,350,,,,,,
Service,1065 Advanced,S 1065A,"Include all partners who share in the liabilities and profits, multi-member LLCs, undeclared businesses with multiple owners. Documents needed before 3rd week of February to avoid need to go on extension.",Yearly,Manual,Fixed,1100,,,,,,
Service,1065 Essential,S 1065E,"Basic partnership return preparation (Form 1065), K-1s for up to 4 partners, one state filing, standard partner communication.",Yearly,Manual,Fixed,350,,,,,,
Service,1065 Plus,S 1065P,"Complex partnership return - unlimited partners, special allocations, multi-state filings, basis tracking, partnership tax strategy review.",Yearly,Manual,Fixed,650,,,,,,
Service,1099 Preparation,S 1099,"<p>Outscore prepares, reviews, and electronically files your Form 1099-NEC and 1099-MISC with the IRS and applicable states. We verify W-9s for compliance, upload digital copies to your client folder, manage a multi-round filing schedule to meet deadlines, and offer late-filing and correction support as needed.</p><p>Pricing</p><ul><li>Early / Standard Rate (all contractor info + W-9s received by Dec 30):</li><li class=""indent-1"">First 1099: $30</li><li class=""indent-1"">Each additional: $15</li><li>Late / Premium Rate (received after deadlines):</li><li class=""indent-1"">$25 per form</li><li class=""indent-1"">Corrections / re-files: $25 per form</li></ul><p><br></p><p>Outscore prepares, reviews, and electronically files your Form 1099-NEC and 1099-MISC with the IRS and applicable states. We verify W-9s for compliance, upload digital copies to your client folder, manage a multi-round filing schedule to meet deadlines, and offer late-filing and correction support as needed. </p><p><br></p><p>PRICING</p><p>	Early / Standard Rate (all contractor info + W-9s received by Dec 30): </p><ul><li>First 1099: $30 </li><li>Each additional: $15 </li></ul><p>	Late / Premium Rate (received after deadlines): </p><ul><li>$25 per form </li><li>Corrections / re-files: $25 per form </li></ul><p><br></p><p>To keep your filings compliant and avoid penalties, we follow a structured deadline schedule for gathering contractor information and W-9s. Early submission of information allows us to file your forms at our standard discounted rate. Late or incomplete submissions will be subject to our premium filing rates.</p>",Monthly,Automatic,Fixed,0,,,,,,
Service,1120 Advanced,S 1120A,"Complex corporate tax return - multiple income streams, multi-state filings, foreign income/credits, consolidated returns, advanced tax planning.",Yearly,Manual,Fixed,1100,,,,,,
Service,1120 Essential,S 1120E,"Basic corporate tax return preparation (Form 1120/1120S), one state return, Florida tangible personal property return, electronic filing",Yearly,Manual,Fixed,350,,,,,,
Service,1120 Plus,S 1120P,"Standard corporate tax return - complete 1120/1120S preparation, inventory/COGS calculations, payroll analysis, officer compensation review",Yearly,Manual,Fixed,550,,,,,,
Service,990-EZ Short Form,S 990EZ,"Mid-size nonprofit Form 990-EZ preparation for organizations with gross receipts < $200,000 and assets < $500,000",Yearly,Manual,Fixed,350,,,,,,
Service,990 Full Return Essential,S 990E,"Complete Form 990 preparation for larger nonprofits, all required schedules, governance review, electronic filing.",Yearly,Manual,Fixed,600,,,,,,
Service,990 Full Return Plus,S 990P,"Complex nonprofit Form 990 with advanced schedules, related organization reporting, quarterly compliance monitoring",Yearly,Manual,Fixed,1200,,,,,,
Service,990-T Unrelated Business,S 990T,Nonprofit unrelated business income tax return (Form 990-T) preparation and filing,Yearly,Manual,Fixed,450,,,,,,
Service,Accounting Advanced,S BOOKA,"Advanced monthly accounting - full accrual basis, bank reconciliation, sales tax filing, complete financial package, strategic business consultation, KPI tracking.",Monthly,Automatic,Fixed,900,,,,,,
Service,Accounting Essential,S BOOKE,"<p>Basic monthly bookkeeping service for small businesses on cash-basis accounting. Includes:</p><ul><li>Bank and credit card reconciliation (up to 3 accounts total)</li><li>Transaction categorization with error identification and correction</li><li>Journal entries as needed</li><li>Florida sales tax preparation and filing (single entity, single state)</li><li>Monthly year-to-date financial statements (Balance Sheet and Profit &amp; Loss)</li></ul><p><br></p><p>Books are completed by the 20th of the following month, contingent on timely client response to our monthly ask report.</p>",Monthly,Automatic,Fixed,350,,,,,,
Service,Accounting Plus,S BOOKP,"<p>Comprehensive monthly accounting service for growing businesses requiring deeper financial insight. Includes:</p><ul><li>Bank and credit card reconciliation (up to 5 accounts)</li><li>Cash or modified accrual basis accounting</li><li>Transaction categorization with error identification and correction</li><li>Journal entries and depreciation calculations</li><li>Full monthly year-to-date financial statements (Balance Sheet, Profit &amp; Loss, and Cash Flow)</li><li>Accounts Payable and Accounts Receivable aging reports</li><li>Sales tax preparation and filing (single entity, Florida only)</li><li>Quarterly business review call with your accountant</li></ul><p><br></p><p>Books are completed by the 10th of the following month, contingent on timely client response to our monthly ask report.</p>",Monthly,Automatic,Fixed,650,,,,,,
Service,Advisory,S ADV,"<p>Hourly business and financial consulting for project-based or one-off engagements. Common uses include tax planning sessions, system implementations (QuickBooks, Xero, payroll setup), process documentation, financial analysis for specific decisions, and ad-hoc advisory needs that fall outside your monthly accounting service.</p><p>Billed in 15-minute increments. Estimates provided in advance for engagements expected to exceed 4 hours.</p>",One-Time,Automatic,Fixed,225,,,,,,
Service,Annual Estimate Tax Review,S ETP,<p>Annual review of estimated tax payments to confirm accuracy and alignment with current income and deductions.</p>,One-Time,Automatic,Fixed,200,,,,,,
Service,Audit Protection Business,S AUDITB,"<p>Fixed-rate protection against IRS audit for your business. Includes data compilation, document preparation, and correspondence with the IRS on your behalf as needed throughout the audit process. Active subscription required at the time the audit notice is received.</p>",Monthly,Automatic,Fixed,30,,,,,,
